N	M	D	H	PowerDemand
728	1	31	7	10154.9259429858
729	1	31	8	6168
730	1	31	9	6168
731	1	31	10	9141.2
732	1	31	11	9052.6
733	1	31	12	7866.1
734	1	31	13	849
735	1	31	14	5481.5
736	1	31	15	9187.5
737	1	31	16	4820.33333333333
738	1	31	17	767.193426132166
739	1	31	18	866.2
740	1	31	19	1131.53333333333
741	1	31	20	866.2
742	1	31	21	866.2
743	1	31	22	866.2
744	1	31	23	566.2
745	2	1	0	566.2
746	2	1	1	566.2
747	2	1	2	566.2
748	2	1	3	566.2
749	2	1	4	566.2
750	2	1	5	566.2
751	2	1	6	1423.13333333333
752	2	1	7	10143.0005937508
753	2	1	8	6168
754	2	1	9	6168
755	2	1	10	8641.2
756	2	1	11	8552.6
757	2	1	12	7866.1
758	2	1	13	849
759	2	1	14	5481.5
760	2	1	15	9187.5
761	2	1	16	4820.33333333333
762	2	1	17	763.417742784256
763	2	1	18	866.2
764	2	1	19	1131.53333333333
765	2	1	20	866.2
766	2	1	21	866.2
767	2	1	22	866.2
768	2	1	23	566.2
769	2	2	0	566.2
770	2	2	1	566.2
771	2	2	2	566.2
772	2	2	3	566.2
773	2	2	4	566.2
774	2	2	5	566.2
775	2	2	6	1423.13333333333
776	2	2	7	10130.7485582066
777	2	2	8	6168
778	2	2	9	6168
779	2	2	10	9141.2
780	2	2	11	9052.6
781	2	2	12	7866.1
782	2	2	13	849
783	2	2	14	5481.5
784	2	2	15	9187.5
785	2	2	16	4820.33333333333
786	2	2	17	759.618211608006
787	2	2	18	866.2
788	2	2	19	1131.53333333333
789	2	2	20	866.2
790	2	2	21	866.2
791	2	2	22	866.2
792	2	2	23	566.2
793	2	3	0	429
794	2	3	1	429
795	2	3	2	429
796	2	3	3	429
797	2	3	4	429
798	2	3	5	429
799	2	3	6	609
800	2	3	7	609
801	2	3	8	609
802	2	3	9	609
803	2	3	10	609
804	2	3	11	609
805	2	3	12	849
806	2	3	13	849
807	2	3	14	849
808	2	3	15	849
809	2	3	16	849
810	2	3	17	729
811	2	3	18	729
812	2	3	19	729
813	2	3	20	729
814	2	3	21	729
815	2	3	22	729
816	2	3	23	429
817	2	4	0	429
818	2	4	1	429
819	2	4	2	429
820	2	4	3	429
821	2	4	4	429
822	2	4	5	429
823	2	4	6	609
824	2	4	7	609
825	2	4	8	609
826	2	4	9	609
827	2	4	10	609
828	2	4	11	609
829	2	4	12	849
830	2	4	13	849
831	2	4	14	849
832	2	4	15	849
833	2	4	16	849
834	2	4	17	729
835	2	4	18	729
836	2	4	19	729
837	2	4	20	729
838	2	4	21	729
839	2	4	22	729
840	2	4	23	429
841	2	5	0	566.2
842	2	5	1	566.2
843	2	5	2	566.2
844	2	5	3	566.2
845	2	5	4	566.2
846	2	5	5	566.2
847	2	5	6	1423.13333333333
848	2	5	7	10092.079099478
849	2	5	8	6168
850	2	5	9	6168
851	2	5	10	9141.2
852	2	5	11	9052.6
853	2	5	12	7866.1
854	2	5	13	849
855	2	5	14	5481.5
856	2	5	15	9187.5
857	2	5	16	4820.33333333333
858	2	5	17	748.092066006802
859	2	5	18	866.2
860	2	5	19	1131.53333333333
861	2	5	20	866.2
862	2	5	21	866.2
863	2	5	22	866.2
864	2	5	23	566.2
865	2	6	0	566.2
866	2	6	1	566.2
867	2	6	2	566.2
868	2	6	3	566.2
869	2	6	4	566.2
870	2	6	5	566.2
871	2	6	6	1423.13333333333
872	2	6	7	10078.5673143251
873	2	6	8	6168
874	2	6	9	6168
875	2	6	10	8641.2
876	2	6	11	8552.6
877	2	6	12	7866.1
878	2	6	13	849
879	2	6	14	5481.5
880	2	6	15	9187.5
881	2	6	16	4820.33333333333
882	2	6	17	744.212410672057
883	2	6	18	866.2
884	2	6	19	1131.53333333333
885	2	6	20	866.2
886	2	6	21	866.2
887	2	6	22	866.2
888	2	6	23	566.2
889	2	7	0	566.2
890	2	7	1	566.2
891	2	7	2	566.2
892	2	7	3	566.2
893	2	7	4	566.2
894	2	7	5	566.2
895	2	7	6	1423.13333333333
896	2	7	7	10064.7525576006
897	2	7	8	6168
898	2	7	9	6168
899	2	7	10	9141.2
900	2	7	11	9052.6
901	2	7	12	7866.1
902	2	7	13	849
903	2	7	14	5481.5
904	2	7	15	9187.5
905	2	7	16	4820.33333333333
906	2	7	17	740.316269381906
907	2	7	18	866.2
908	2	7	19	1131.53333333333
909	2	7	20	866.2
910	2	7	21	866.2
911	2	7	22	866.2
912	2	7	23	566.2
913	2	8	0	566.2
914	2	8	1	566.2
915	2	8	2	566.2
916	2	8	3	566.2
917	2	8	4	566.2
918	2	8	5	566.2
919	2	8	6	1423.13333333333
920	2	8	7	10050.6396903003
921	2	8	8	6168
922	2	8	9	6168
923	2	8	10	8641.2
924	2	8	11	8552.6
925	2	8	12	7866.1
926	2	8	13	849
