N	M	D	H	Qh
463	1	20	6	37187.3830362347
464	1	20	7	37609.6806525027
465	1	20	8	36653.6044886686
466	1	20	9	33769.1151421041
467	1	20	10	30231.7878135852
468	1	20	11	26252.6976187075
469	1	20	12	25125.73371597
470	1	20	13	24288.1541859788
471	1	20	14	24064.5188550445
472	1	20	15	23749.5752824998
473	1	20	16	24831.1463792163
474	1	20	17	25910.1742650387
475	1	20	18	27006.4352091424
476	1	20	19	28098.7914064269
477	1	20	20	29168.0642199481
478	1	20	21	30216.3931447637
479	1	20	22	31245.7193757723
480	1	20	23	32140.5608849091
481	1	21	0	32932.9230068595
482	1	21	1	33612.7635449486
483	1	21	2	34190.511618948
484	1	21	3	34695.1702707997
485	1	21	4	35113.9732800846
486	1	21	5	35493.9593211384
487	1	21	6	35819.185613849
488	1	21	7	36114.2681435183
489	1	21	8	35247.4684674974
490	1	21	9	32765.4753836271
491	1	21	10	27725.1761970888
492	1	21	11	22473.4572606849
493	1	21	12	18813.8697412512
494	1	21	13	16029.0741956146
495	1	21	14	14721.3055122563
496	1	21	15	15924.3311787179
497	1	21	16	17711.648423267
498	1	21	17	19333.3072671578
499	1	21	18	20824.2023932371
500	1	21	19	22176.9131522763
501	1	21	20	23267.4633793465
502	1	21	21	24100.6110052354
503	1	21	22	24719.7540702984
504	1	21	23	25281.5115479734
505	1	22	0	25791.2022503774
506	1	22	1	26253.6520128435
507	1	22	2	26673.2393857353
508	1	22	3	27073.4776416418
509	1	22	4	27436.6196128483
510	1	22	5	27805.1846880032
511	1	22	6	28159.1296735826
512	1	22	7	28519.3501903564
513	1	22	8	28370.3547468406
514	1	22	9	27565.1802781795
515	1	22	10	26254.7275884742
516	1	22	11	24673.6387520173
517	1	22	12	23213.5169309174
518	1	22	13	22183.0277526294
519	1	22	14	21732.4889608562
520	1	22	15	21127.6265200127
521	1	22	16	22022.3221522019
522	1	22	17	22892.7141194447
523	1	22	18	23741.0550191839
524	1	22	19	24569.3886657421
525	1	22	20	25379.5694414748
526	1	22	21	26192.8204047649
527	1	22	22	26989.316443337
528	1	22	23	27751.0699454524
529	1	23	0	28461.7604902451
530	1	23	1	29145.6614240815
531	1	23	2	29766.1746547817
532	1	23	3	30329.1753035921
533	1	23	4	30839.993953191
534	1	23	5	31518.413172779
535	1	23	6	32368.4393693497
536	1	23	7	33354.6265132611
537	1	23	8	32764.8411364692
538	1	23	9	29681.7730171085
539	1	23	10	22812.2729654274
540	1	23	11	16181.3333620159
541	1	23	12	10255.142767852
542	1	23	13	4960.73609814403
543	1	23	14	1829.2441385654
544	1	23	15	1723.33064630266
545	1	23	16	4729.17203881025
546	1	23	17	7612.73990827362
547	1	23	18	10385.3672378705
548	1	23	19	13057.3366075225
549	1	23	20	15462.1125975382
550	1	23	21	17604.9196107385
551	1	23	22	19529.5789243119
552	1	23	23	21256.3096678707
553	1	24	0	22783.9164004138
554	1	24	1	24150.3955817564
555	1	24	2	25194.8164467876
556	1	24	3	25966.5696834475
557	1	24	4	26471.3870780668
558	1	24	5	26851.2530161843
559	1	24	6	27117.7486866009
560	1	24	7	27281.3818697784
561	1	24	8	26019.168311467
562	1	24	9	23632.4134931806
563	1	24	10	20056.1959321931
564	1	24	11	16093.0420812633
565	1	24	12	12471.5618519133
566	1	24	13	9740.0778451231
567	1	24	14	8439.5071915992
568	1	24	15	8808.40906712024
569	1	24	16	10688.5931818624
570	1	24	17	12492.2142351693
571	1	24	18	14206.8279626301
572	1	24	19	15860.2246035514
573	1	24	20	17653.4835983659
574	1	24	21	19554.1011838543
575	1	24	22	21571.6673252473
576	1	24	23	23480.3965323579
577	1	25	0	25290.3764113569
578	1	25	1	27010.7595935485
579	1	25	2	28278.5799365854
580	1	25	3	29116.2429051894
581	1	25	4	29583.1584030395
582	1	25	5	30182.6625558817
583	1	25	6	30902.4663173204
584	1	25	7	31731.4196574273
585	1	25	8	30259.8228002466
586	1	25	9	25462.1078890466
587	1	25	10	16584.8710102921
588	1	25	11	8862.48513436954
589	1	25	12	3453.00456534119
590	1	25	13	0
591	1	25	14	0
592	1	25	15	0
593	1	25	16	0
594	1	25	17	1636.26623431128
595	1	25	18	4161.66347604872
596	1	25	19	6511.61465133328
597	1	25	20	8604.67831541882
598	1	25	21	10464.664216903
599	1	25	22	12113.1752858162
600	1	25	23	13550.2716233304
601	1	26	0	14776.0077601163
602	1	26	1	15829.5142734119
603	1	26	2	16765.8354535604
604	1	26	3	17615.3732326725
605	1	26	4	18366.6306236773
606	1	26	5	19067.7978947178
607	1	26	6	19703.9771234472
608	1	26	7	20300.7323097438
609	1	26	8	19296.7028447981
610	1	26	9	17144.2021969085
611	1	26	10	13787.7738927386
612	1	26	11	10048.5570033072
613	1	26	12	9373.82135932694
614	1	26	13	9062.18976963942
615	1	26	14	9355.31831448202
616	1	26	15	10347.9581467013
617	1	26	16	11987.7456262259
618	1	26	17	13592.7918781476
619	1	26	18	15166.3169106655
620	1	26	19	16711.2422839068
621	1	26	20	18112.975469387
622	1	26	21	19365.2477568946
623	1	26	22	20501.4525555669
624	1	26	23	21630.0503911043
625	1	27	0	22751.7463187382
